//----------------------------------------
//- NPC MAIN -
//----------------------------------------
morocc,155,115,6	duplicate(jobchange)	เปลี่ยนอาชีพ	521
morocc,141,68,4	shop	ร้านอาวุธ#m1	413,1101:100,1107:2900,1104:1500,1110:10000,1113:17000,1122:24000,1126:49000,1123:50000,1119:51000,1129:60000,1116:2000,1151:15000,1154:22500,1157:60000,1160:65000,1163:74000,1501:120,1504:1600,1507:9000,1510:16000,1519:23000,1513:41000,1516:50000,1522:60000,1601:50,1607:9500,1604:2500,1621:43000,1610:45000,1617:85000,1619:85000,1550:30000,1551:60000,1701:1000,1704:2500,1707:10000,1710:17000,1713:48000,1714:42000,1718:64000,1201:50,1204:1250,1207:2400,1210:8500,1213:14000,1216:19500,1219:43000,1222:49000,13003:52000,1250:19500,1252:41000,1254:37200,1401:150,1404:1700,1407:3450,1451:13000,1454:20000,1457:27000,1463:54000,1460:51000,1410:60000,1301:500,1351:5400,1357:34000,1354:15500,1360:55000,1901:4000,1905:24500,1907:47000,1911:54000,1909:62000,1903:18000,1950:2500,1952:12000,1954:17500,1956:32000,1960:38000,1958:41000,1801:8000,1803:25000,1805:32000,1811:58000,1807:53000,1809:67000;
morocc,139,68,4	shop	ร้านชุดเกราะ#m1	414,2301:10,2303:200,2305:1000,2328:5500,2332:7000,2321:8000,2307:10000,2309:22000,2325:54000,2312:48000,2314:65000,2330:71000,2335:74000,2316:80000,2341:94000,2340:89000,2101:500,2103:14000,2105:56000,2107:60000,2113:5000,2117:10000,2119:40000,2501:1000,2503:5000,2505:32000,2512:50000,2508:56000,2401:400,2403:3500,2405:18000,2411:48000,2416:35000,2211:400,2208:800,2220:1000,2222:4500,5092:150000,5114:6000,2232:7500,5112:8500,2216:9000,2224:20,2226:12000,2251:30000,2228:44000,2203:4000,2243:20000,2201:5000,2239:10000,2260:28000,2218:300,2241:5000,2627:20000,2601:30000,2605:30000,2603:30000,2602:30000,2604:30000,2608:15000;
morocc,137,68,4	shop	ร้านนินจา & มือปืน#m1	415,13006:240000,13007:20000,13009:48000,13010:3000,13014:20,13301:40000,13303:78000,13300:90000,13250:5,13251:10,13252:20,13253:40,13254:100,13255:10,13256:10,13257:10,13258:10,13259:10,7521:150,7522:150,7523:150,7524:300,13200:1,13201:15,13202:30,13203:80,13204:80,13205:80,13206:80,13207:80,13100:4500,13102:20000,13104:48000,13106:100000,13150:3000,13151:17500,13153:23500,13154:12000,13155:32000,13156:56000,13158:130000,13157:80000,13160:110000,13162:230000;
morocc,135,68,4	shop	ร้านตีดาบ#m1	417,970:10000,971:10000,972:12000,973:100000,974:100000,612:200,613:5000,614:10000,615:15000,1005:100000,1010:200,1011:1000,986:100000,987:250000,988:300000,990:3000,991:3000,992:3000,993:3000,994:30000,995:30000,996:30000,997:30000,998:500,999:3000,1000:25000,1002:300,1003:3000,1001:5000,718:10000,719:10000,720:10000,721:10000,727:10000,722:10000,723:25000,724:25000,725:15000,726:15000,728:15000,729:15000;
morocc,133,68,4	shop	ร้านทำยา#m1	418,12040:100000,7142:50000,970:5000,971:5000,972:5000,973:50000,974:50000,713:10,1092:10,1093:10,7134:10,7140:-1,7141:-1,7143:-1,905:500,904:1000,946:1000,947:1000,1013:1000,7433:5000,937:500,952:500,939:500,7033:500,1061:500,1059:1000,929:1000,1032:1000,1050:1000,1051:1000,1044:1000,950:1000,1012:2500,7126:2500,1057:2500,708:1000,704:1000,7137:30000,7138:30000,7457:1000,7452:1500,7456:1500,7453:3000,7454:3000,7455:3000,7482:5000,12125:5000,12126:5000,12127:5000,12128:5000,12129:10000,7127:100000,7128:100000,7129:100000,7130:100000,7131:100000,7132:100000,7133:200000,7434:100000,7144:100000;
morocc,131,68,4	shop	ร้านสัตว์เลี้ยง#m1	419,643:3000,929:1000,711:20,507:20,508:500,511:20,537:-1,531:-1,532:-1,534:-1,504:1200,505:5000,911:1000,910:1000,912:-1,7821:1500,7824:3000,6115:3000,554:3000,10013:5000,10002:5000,10017:5000,10010:5000,10009:5000,10008:5000,10012:5000,10014:5000,10019:5000,10007:5000,10001:5000,10003:5000,10004:5000,10005:5000,10011:5000,10015:5000,10020:5000,10018:1000000,10006:1000000,10016:1000000;



//----------------------------------------
//- NPC EVENT -
//----------------------------------------
morocc,114,106,6	duplicate(Endless Tower)	Endless Tower#1	626
morocc,119,107,6	duplicate(Devil Square)	Devil Square#1	626
morocc,124,106,6	duplicate(Box Boom)	Box Boom#1	626
morocc,129,107,6	duplicate(Plant Ball)	Plant Ball#1	626
morocc,114,111,6	duplicate(Aha Team)	Aha Team#1	626
morocc,119,112,6	duplicate(Talent Match)	Talent Match#1	626
morocc,124,111,6	duplicate(Poring Lucky)	Poring Lucky#1	626
morocc,129,112,6	duplicate(Find Poring)	Find Poring#1	626
morocc,134,111,6	duplicate(OX Game)	OX Game#1	626
morocc,171,92,4	duplicate(online)	Online#1	626

morocc,181,103,4	duplicate(SlotJackpot)	Slot Jackpot#1	626

morocc,159,87,4	duplicate(eventlv99)	กิจกรรม Lv. 99	624


//----------------------------------------
//-CHECK PLAYER -
//----------------------------------------

morocc,148,87,6	duplicate(check)	เช็คของ#1	621
